,Food_and_Beverages,Fuel_and_Light,Headline_CPI,Housing,Miscellaneous,USD_INR,Log_USD_INR,Repo_Rate,Reserve_Money,Forex_Reserves,Log_Trade_Balance,Log_Reserve_Money,Log_Forex_Reserves
count,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0
mean,159.92045454545453,151.96893939393937,156.6659090909091,154.70000000000002,151.04090909090908,77.47009820210666,4.340607091366548,5.802272727272727,32547019.64932404,3827143.334004924,-0.4133356960959569,17.241012493881946,15.100706795131607
std,25.489491139888166,22.778703501684923,24.522698099271388,21.134892101028985,25.204528111733886,10.555001992086872,0.13703045034440656,1.0318378999482452,10693613.769286385,1274023.199520054,0.11636660025446845,0.3454834356824533,0.34173501444377197
min,123.1,116.5,119.5,117.3,114.0,62.00355,4.127191641470427,4.0,14439723.895096,2005260.0,-0.8108103839394492,16.48549357040792,14.511284286126099
25%,137.825,131.89999999999998,135.925,136.9,127.65,67.11235,4.206367365602407,5.15,21844690.3481415,2586498.25,-0.4830004510718462,16.899466019834463,14.765814675851033
50%,155.85,144.35,152.85000000000002,155.6,148.0,76.37727831652634,4.335677233333454,6.25,31729825.597425,3866852.88425,-0.4178865257023858,17.272765760710485,15.167911387450511
75%,178.5,177.125,177.42499999999998,173.725,174.325,89.2392613604899,4.491321021149524,6.5,43349450.135966994,4791943.41975,-0.35616812505862594,17.584801385571772,15.382445979713685
max,209.4,186.5,198.0,188.4,198.0,90.999363501545,4.510852512003872,7.75,49420924.805,6217517.9155,0.03273615417651499,17.715884471522454,15.642881336119157
